PLAYER,CUSTOM POSITION,DEFAULT MFL POSITION
"Adams, Myles SEA",DT,DE
"Adeniyi, Ola TEN",DE,LB
"Allen, Josh JAC",DE,LB
"Allen, Marcus PIT",LB,S
"Anderson, Henry NEP",DT,DE
"Anthony, Andre TBB",DE,LB
"Avery, Genard PIT",DE,LB
"Barrett, Shaq TBB",DE,LB
"Beasley, Vic FA",DE,LB
"Bell, Quinton ATL",DE,LB
"Biegel, Vince MIA",DE,LB
"Blair, Marquise SEA",CB,S
"Bledsoe, Amani FA",DT,DE
"Bonitto, Nik DEN",DE,LB
"Booker, Thomas HOU",DT,DE
"Bosa, Joey LAC",DE,LB
"Bowser, Tyus BAL",DE,LB
"Brooks, Antoine LAR",S,CB
"Brown, Andrew LAC",DT,DE
"Brown, Bobby LAR",DT,DE
"Brown, Cam NYG",DE,LB
"Browning, Baron DEN",DE,LB
"Bullard, Jonathan ATL",DT,DE
"Butler, Adam FA",DT,DE
"Butler, Vernon FA",DT,DE
"Campbell, Elijah MIA",S,CB
"Carpenter, Tariq GBP",S,LB
"Carter, Lorenzo NYG",DE,LB
"Carter, Ron'Dell PIT",DE,LB
"Carter, Zachary CIN",DT,DE
"Chachere, Andre PHI",S,CB
"Chaisson, K'Lavon JAC",DE,LB
"Christian, Marqui FA",CB,S
"Chubb, Bradley DEN",DE,LB
"Collier, L.J. SEA",DT,DE
"Cominsky, John ATL",DT,DE
"Cooper, Jonathon DEN",DE,LB
"Copeland, Brandon ATL",DE,LB
"Copeland, Marquise LAR",DT,DE
"Cornell, Jashon DET",DT,DE
"Crawford, Jack ARI",DT,DE
"Davidson, Marlon ATL",DT,DE
"Dimukeje, Victor ARI",DE,LB
"Dupree, Bud TEN",DE,LB
"Ebiketie, Arnold ATL",DE,LB
"Egbule, Emeke LAC",DE,LB
"Ejiofor, Duke FA",DE,LB
"Enagbare, Kingsley GBP",DE,LB
"Fackrell, Kyler LVR",DE,LB
"Ferguson, Jaylon BAL",DE,LB
"Fitts, Kylie ARI",DE,LB
"Floyd, Leonard LAR",DE,LB
"Fox, Morgan FA",DT,DE
"Galeai, Tipa GBP",DE,LB
"Gardeck, Dennis ARI",DE,LB
"Gardner-Johnson, Chauncey NOS",CB,S
"Garrett, Chris LAR",DE,LB
"Garvin, Jonathan GBP",DE,LB
"Gary, Rashan GBP",DE,LB
"Gaziano, Joe LAC",DT,DE
"Gholston, William TBB",DT,DE
"Gill, Cam TBB",DE,LB
"Golden, Markus NYG",DE,LB
"Goode, Cameron MIA",DE,LB
"Graham, Ta'Quon ATL",DT,DE
"Green, Rasheem SEA",DT,DE
"Gregory, Randy DEN",DE,LB
"Griffin, Shaquem FA",DE,LB
"Gunter, Jeffrey CIN",DE,LB
"Gustin, Porter CLE",DE,LB
"Guy, Lawrence NEP",DT,DE
"Hall, Logan TBB",DT,DE
"Hamilton, La'Darius GBP",DE,LB
"Hand, Da'Shawn TEN",DT,DE
"Harris, Jonathan DEN",DT,DE
"Harris, Marcell SFO",LB,S
"Harris, Shelby DEN",DT,DE
"Harris, Trent BAL",DE,LB
"Harris, Will DET",CB,S
"Hartsfield, Myles CAR",CB,S
"Hayes, Daelin BAL",DE,LB
"Henningsen, Matt DEN",DT,DE
"Hicks, Akiem CHI",DT,DE
"Highsmith, Alex PIT",DE,LB
"Hollins, Justin LAR",DE,LB
"Houston, James DET",DE,LB
"Houston, Justin BAL",DE,LB
"Hunter, Danielle MIN",DE,LB
"Hyder, Kerry SFO",DT,DE
"Ingram, Melvin KCC",DE,LB
"Jackson, Jordan NOS",DT,DE
"Johnson, Darryl CAR",DT,DE
"Johnson, Patrick PHI",LB,DE
"Johnson, Raymond NYG",DT,DE
"Jones, Dre'Mont DEN",DT,DE
"Jones, Jamir JAC",DE,LB
"Jones, Patrick MIN",DE,LB
"Judon, Matt BAL",DE,LB
"Kamara, Azur CAR",DE,LB
"Kennard, Devon ARI",DE,LB
"Key, Arden JAC",DE,LB
"Landry, Harold TEN",DE,LB
"Lawler, Justin TEN",DE,LB
"Ledbetter, Jeremiah JAC",DT,DE
"Lemonier, Jessie FA",DE,LB
"Lewis, Terrell LAR",DE,LB
"Loudermilk, Isaiahh PIT",DT,DE
"Lowry, Dean GBP",DT,DE
"Luketa, Jesse ARI",DE,LB
"Lynch, James MIN",DT,DE
"Mack, Khalil LAC",DE,LB
"Madubuike, Justin BAL",DT,DE
"Malone, DeAngelo ATL",DE,LB
"Marsh, Cassius CHI",DE,LB
"Martin, Jake NYJ",DE,LB
"McCourty, Jason FA",S,CB
"McPhee, Pernell BAL",DE,LB
"Means, Steven BAL",DE,LB
"Melifonwu, Ifeatu DET",S,CB
"Mukuamu, Israel DAL",S,CB
"Murchison, Larrell TEN",DT,DE
"Nelson, Anthony TBB",DE,LB
"Nunez-Roches, Rakeem TBB",DT,DE
"Nwosu, Uchenna LAC",DE,LB
"O'Connor, Pat GBP",DT,DE
"Obada, Efe WAS",DT,DE
"Odenigbo, Ifeadi CLE",DE,LB
"Ogunjobi, Larry PIT",DT,DE
"Ojabo, David BAL",DE,LB
"Ojulari, Azeez NYG",DE,LB
"Otomewo, Esezi MIN",DT,DE
"Oweh, Jayson BAL",DE,LB
"Paschal, Josh DET",DT,DE
"Perkins, Ronnie NEP",DE,LB
"Phillips, Harrison MIN",DT,DE
"Phillips, Jaelan MIA",DE,LB
"Pinnock, Jason NYJ",S,CB
"Ramsey, Randy GBP",DE,LB
"Randall, Damarious FA",CB,S
"Ray, Wyatt CIN",DE,LB
"Reddick, Haason PHI",DE,LB
"Reed, Jarran GBP",DT,DE
"Reed, Malik DEN",DE,LB
"Roberson, Derick TEN",DE,LB
"Roberts, Sam NEP",DT,DE
"Robertson-Harris, Roy JAC",DT,DE
"Robinson, A'Shawn LAR",DT,DE
"Robinson, Janarius MIN",DE,LB
"Roche, Quincy NYG",DE,LB
"Rumph, Chris LAC",DE,LB
"Sanders, Myjai ARI",DE,LB
"Scarlett, Brennan MIA",DE,LB
"Sieler, Zach MIA",DT,DE
"Smith, Chris HOU",DE,LB
"Smith, Elerson NYG",DE,LB
"Smith, Jordan JAC",DE,LB
"Smith, Preston GBP",DE,LB
"Smith, Za'Darius GBP",DE,LB
"Spencer, Marquiss DEN",DT,DE
"Stephen, Shamar DEN",DT,DE
"Stephens, Brandon BAL",S,CB
"Stevens, JaCoby PHI",LB,S
"Strong, Kevin TEN",DT,DE
"Tabor, Teez ATL",S,CB
"Thibodeaux, Kayvon NYG",DE,LB
"Thomas II, Rodney IND",CB,LB
"Thurman, Nick ATL",DT,DE
"Tillery, Jerry LAC",DT,DE
"Toohill, Casey WAS",DE,LB
"Tryon, Joe TBB",DE,LB
"Tuitt, Stephon PIT",DT,DE
"Uche, Josh NEP",DE,LB
"Urban, Brent BAL",DT,DE
"Uwazurike, Eyioma DEN",DT,DE
"Van Ginkel, Andrew MIA",DE,LB
"Vaughters, James ATL",DE,LB
"Walker, DeMarcus HOU",DT,DE
"Watt, J.J. ARI",DT,DE
"Watt, T.J. PIT",DE,LB
