PLAYER,CUSTOM POSITION,DEFAULT MFL POSITION
"Abdullah, Yasir JAC",DE,LB
"Adeniyi, Ola FA",DE,LB
"Amadi, Ugo NOS",CB,S
"Anderson, Abdullah WAS",DT,DE
"Booker, Thomas HOU",DT,DE
"Campbell, Elijah MIA",S,CB
"Collins, Landon FA",S,LB
"Copeland, Brandon FA",DE,LB
"Davidson, Marlon FA",DT,DE
"Fotu, Leki ARI",DT,DE
"Golston, Chauncey DAL",DT,DE
"Gunter, Jeffrey CIN",DE,LB
"Hampton, Nick LAR",DE,LB
"Hand, Da'Shawn MIA",DT,DE
"Holmes, Jalyn FA",DT,DE
"Hyder, Kerry SFO",DT,DE
"Johnson, Kyron PHI",DE,LB
"Kennard, Devon FA",DE,LB
"Ledbetter, Jonathan ARI",DT,DE
"Lewis, Cam BUF",S,CB
"Mitchell, DaMarcus NEP",DE,DT
"Odenigbo, Ifeadi NYJ",DE,LB
"Ogbah, Emmanuel MIA",DE,DT
"Quarterman, Shaquille JAC",LB,DE
"Robinson, Janarius PHI",DE,LB
"Scarlett, Brennan FA",DE,LB
"Smoot, Dawuane JAC",DE,DT
"Toohill, Casey WAS",DE,LB
"Walker, DeMarcus CHI",DT,DE
"Ward, Jihad NYG",DE,DT
"Washington, Ar'Darius BAL",CB,S
"White, Keion NEP",DE,DT
"Williams, P.J. FA",S,CB
"Wise, Deatrich NEP",DE,DT
"Worley, Daryl BAL",S,CB
