PLAYER,CUSTOM POSITION,DEFAULT MFL POSITION
"Adams, Montravius NEP",DT,DE
"Adeniyi, Ola TEN",DE,LB
"Allen, Marcus PIT",LB,S
"Allen, Zach ARI",DT,DE
"Anderson, Henry NEP",DT,DE
"Anderson, Ryan NYG",DE,LB
"Apke, Troy WAS",CB,S
"Attaochu, Jeremiah CHI",DE,LB
"Autry, Denico TEN",DT,DE
"Bailey, Allen FA",DT,DE
"Barrett, Shaq TBB",DE,LB
"Beasley, Vic LVR",DE,LB
"Bell, Quinton TBB",DE,LB
"Biegel, Vince MIA",DE,LB
"Blackson, Angelo CHI",DT,DE
"Blair, Marquise SEA",CB,S
"Bower, Tashawn NEP",DE,LB
"Bowser, Tyus BAL",DE,LB
"Brailford, Jordan MIN",DE,LB
"Brooks, Antoine PIT",S,CB
"Brown, Cam NYG",DE,LB
"Brown, Earnest LAR",DT,DE
"Bryant, Myles NEP",S,CB
"Bullard, Jonathan SEA",DT,DE
"Bynum, Camryn MIN",S,CB
"Campbell, Calais BAL",DT,DE
"Carter, Lorenzo NYG",DE,LB
"Carter, Michael NYJ",CB,S
"Casey, Jurrell FA",DT,DE
"Chickillo, Anthony DEN",DE,LB
"Chubb, Bradley DEN",DE,LB
"Coley, Trevon TEN",DT,DE
"Collier, L.J. SEA",DT,DE
"Cominsky, John ATL",DT,DE
"Cooper, Jonathon DEN",DE,LB
"Copeland, Brandon ATL",DE,LB
"Cornell, Jashon DET",DT,DE
"Correa, Kamalei FA",DE,LB
"Coughlin, Carter NYG",DE,LB
"Crawford, Jack TEN",DT,DE
"Davis, Carlos PIT",DT,DE
"Deablo, Divine LVR",LB,S
"Dickerson, Matt LVR",DT,DE
"Dimukeje, Victor ARI",DE,LB
"Dogbe, Michael ARI",DT,DE
"Dupree, Bud TEN",DE,LB
"Ebukam, Samson SFO",DE,LB
"Edwards, Mario CHI",DT,DE
"Egbule, Emeke LAC",DE,LB
"Eguavoen, Sam MIA",DE,LB
"Ejiofor, Duke HOU",DE,LB
"Fackrell, Kyler LAC",DE,LB
"Ferguson, Jaylon BAL",DE,LB
"Finch, Sharif NYJ",DE,LB
"Fitts, Kylie ARI",DE,LB
"Floyd, Leonard LAR",DE,LB
"Fox, Morgan CAR",DT,DE
"Gaines, Greg LAR",DT,DE
"Gardeck, Dennis ARI",DE,LB
"Gardner-Johnson, Chauncey NOS",CB,S
"Garrett, Chris LAR",DE,LB
"Garvin, Jonathan GBP",DE,LB
"Gary, Rashan GBP",DE,LB
"Gholston, William TBB",DT,DE
"Gill, Cam TBB",DE,LB
"Golden, Markus ARI",DE,LB
"Goodwin, C.J. DAL",S,CB
"Green, Rasheem SEA",DT,DE
"Griffin, Shaquem SEA",DE,LB
"Gustin, Porter CLE",DE,LB
"Guy, Lawrence NEP",DT,DE
"Harris, Jonathan DEN",DT,DE
"Harris, Shelby DEN",DT,DE
"Hartsfield, Myles CAR",CB,S
"Hayes, Daelin BAL",DE,LB
"Heyward, Cameron PIT",DT,DE
"Hicks, Akiem CHI",DT,DE
"Highsmith, Alex PIT",DE,LB
"Hill, B.J. NYG",DT,DE
"Hollins, Justin LAR",DE,LB
"Houston, Justin BAL",DE,LB
"Hunt, Margus ARI",DT,DE
"Ingram, Melvin PIT",DE,LB
"Irving, Isaiah ARI",DE,LB
"Jones, Chandler ARI",DE,LB
"Jones, Datone FA",DT,DE
"Jones, Dre'Mont DEN",DT,DE
"Judon, Matt NEP",DE,LB
"Kalu, Joshua NYG",S,CB
"Keke, Kingsley GBP",DT,DE
"Kennard, Devon ARI",DE,LB
"Killebrew, Miles PIT",LB,S
"Lancaster, Tyler GBP",DT,DE
"Landry, Harold TEN",DE,LB
"Lawler, Justin LAR",DE,LB
"Ledbetter, Jeremiah TBB",DT,DE
"Lewis, Terrell LAR",DE,LB
"Loudermilk, Isaiahh PIT",DT,DE
"Lowry, Dean GBP",DT,DE
"Luvu, Frankie CAR",DE,LB
"Lynch, Aaron JAC",DE,LB
"Mack, Isaiah DEN",DT,DE
"Mack, Khalil CHI",DE,LB
"Malveaux, Cameron CLE",DE,LB
"Marsh, Cassius PIT",DE,LB
"Martin, Jake HOU",DE,LB
"Martin, Kareem DET",DE,LB
"Matthews, Clay FA",DE,LB
"McIntosh, RJ NYG",DT,DE
"McManis, Sherrick CHI",S,CB
"McPhee, Pernell BAL",DE,LB
"Miller, Christian CAR",DE,LB
"Miller, Von DEN",DE,LB
"Milligan, Rolan IND",CB,S
"Mingo, Barkevious ATL",DE,LB
"Mondeaux, Henry PIT",DT,DE
"Moore, Tarvarius SFO",S,CB
"Murchison, Larrell TEN",DT,DE
"Murray, Eric HOU",CB,S
"Nelson, Anthony TBB",DE,LB
"Nwosu, Uchenna LAC",DE,LB
"O'Connor, Pat TBB",DT,DE
"Obada, Efe BUF",DT,DE
"Odenigbo, Ifeadi NYG",DE,LB
"Ojulari, Azeez NYG",DE,LB
"Okoronkwo, Ogbonnia LAR",DE,LB
"Omenihu, Charles HOU",DT,DE
"Oweh, Jayson BAL",DE,LB
"Perkins, Ronnie NEP",DE,LB
"Phillips, Jordan ARI",DT,DE
"Polite, Jachai FA",DE,LB
"Quinn, Robert CHI",DE,LB
"Ramsey, Randy GBP",DE,LB
"Randall, Damarious SEA",CB,S
"Ray, Wyatt TEN",DE,LB
"Reed, Brooks FA",DE,LB
"Reed, Malik DEN",DE,LB
"Roberson, Derick TEN",DE,LB
"Roche, Quincy PIT",DE,LB
"Scarlett, Brennan MIA",DE,LB
"Sieler, Zach MIA",DT,DE
"Skipper, Tuzar TEN",DE,LB
"Smith, Chris BAL",DE,LB
"Smith, Jordan JAC",DE,LB
"Smith, Preston GBP",DE,LB
"Smith, Za'Darius GBP",DE,LB
"Smith-Williams, James WAS",DT,DE
"Snowden, Charles CHI",DE,LB
"Spencer, Marquiss DEN",DT,DE
"Stevens, JaCoby PHI",LB,S
"Street, Kentavius SFO",DT,DE
"Strowbridge, Jason MIA",DT,DE
"Suggs, Terrell FA",DE,LB
"Tell, Marvell IND",CB,S
"Thurman, Nick NEP",DT,DE
"Toohill, Casey WAS",DE,LB
"Tryon, Joe TBB",DE,LB
"Tufele, Jay JAC",DT,DE
"Tuitt, Stephon PIT",DT,DE
"Uche, Josh NEP",DE,LB
"Urban, Brent DAL",DT,DE
"Van Ginkel, Andrew MIA",DE,LB
"Van Noy, Kyle NEP",DE,LB
"Vaughters, James CHI",DE,LB
"Walker, D'Andre FA",DE,LB
"Walker, DeMarcus HOU",DT,DE
"Watt, J.J. ARI",DT,DE
"Watt, T.J. PIT",DE,LB
"Williams, Leonard NYG",DT,DE
"Williams, P.J. NOS",S,CB
"Winn, Billy GBP",DT,DE
"Winovich, Chase NEP",DE,LB
"Wise, Deatrich NEP",DT,DE
"Wolfe, Derek BAL",DT,DE
"Wormley, Chris PIT",DT,DE
