PLAYER,CUSTOM POSITION,DEFAULT MFL POSITION
"Abdullah, Yasir JAC",DE,LB
"Anderson, Abdullah WAS",DT,DE
"Anderson, Ryder NYG",DT,DE
"Arnold, Grayland HOU",CB,S
"Bernard-Converse, Jarrick NYJ",S,CB
"Branch, Brian DET",CB,S
"Brown, Earnest SFO",DT,DE
"Cabinda, Jason FA",RB,LB
"Chatman, Elijah NYG",DT,DE
"Collins, Landon NYG",S,LB
"Cominsky, John DET",DT,DE
"Davis, Jamin WAS",DE,LB
"Farmer, Andrew LAC",DE,LB
"Gaziano, Joe ATL",DE,DT
"Hampton, Nick LAR",DE,LB
"Hill, Taysom NOS",TE,QB
"Incoom, Thomas DEN",DE,LB
"Johnson, Kyron PHI",DE,LB
"Lake, Quentin LAR",CB,S
"Ledbetter, Jonathan ARI",DT,DE
"Leota, Eku CAR",DE,LB
"Maddox, Avonte PHI",S,CB
"McLendon, TK TEN",DT,DE
"Mills, Jalen NYG",S,CB
"Moon, Jeremiah PIT",DE,LB
"Murphy, Caleb TEN",DE,LB
"Odenigbo, Ifeadi FA",DE,LB
"Ogbah, Emmanuel MIA",DE,DT
"Smith, Tykee TBB",CB,S
"Van Noy, Kyle BAL",DE,LB
"VanValkenburg, Zach LAR",DE,LB
"Ward, Jihad NYG",DE,DT
"White, Keion NEP",DE,DT
"Whitley, Benton NYG",DE,LB
"Wise, Deatrich NEP",DE,DT
