PLAYER,CUSTOM POSITION,DEFAULT MFL POSITION
"Adams, Jamal LVR",LB,S
"Autry, Denico HOU",DE,DT
"Booker, Thomas PHI",DT,DE
"Brown, Earnest SFO",DT,DE
"Chatman, Elijah NYG",DT,DE
"Cominsky, John DET",DT,DE
"Conner, Chamarri KCC",CB,S
"Gainer, Amari LVR",DE,LB
"Gaye, Ali TEN",DE,LB
"Gotsis, Adam TBB",DE,DT
"Hampton, Nick LAR",DE,LB
"Harrison, Zach ATL",DT,DE
"Incoom, Thomas DEN",DE,LB
"Ingram-Dawkins, Tyrion MIN",DE,DT
"Izien, Christian TBB",S,CB
"Jones, Sai'vion DEN",DE,DT
Jones Velus NOS,RB,WR
"Jordan, Cameron NOS",DE,DT
"Leal, DeMarvin PIT",DE,DT
"Leota, Eku CAR",DE,LB
"McLendon, TK TEN",DT,DE
Melton Bo GBP,CB,WR
"Mills, Jalen NYG",S,CB
"Moon, Jeremiah PIT",DE,LB
"Murphy, Caleb TEN",DE,LB
"Nowaske, Trevor DET",DE,LB
Ouzts RobbieSEA,RB,TE
"Richter, Bo MIN",DE,LB
"Roberts, Elijah TBB",DE,DT
Shorter Justin LVR,TE,WR
"Smith, Tykee TBB",CB,S
"Tillman, Dondrea DEN",DE,LB
"Turner, Shemar CHI",DT,DE
"VanSumeren, Ben PHI",RB,LB
"Wise, Deatrich NEP",DE,DT
"Wohler, Hunter IND",S,LB
